isEdited,developerResponse,review,title,rating,userName,date,app_name,app_id
False,,It’s impossible to have this much consistency with ratings. So this is a demerit from the start. This app is pricey and it’s a goofy cartoon. It’s like a working within a meme the whole time. The guiding voice is too robotic.,Where are the real ratings?,3,LinBob,2020-12-25 12:05:12,mindfulness-with-petit-bambou,941222646
False,,"If you want a real app that make you more grateful and kind, please, try it! Stay here, now.",Very helpful,5,Leslie Castellano,2021-02-28 03:30:57,mindfulness-with-petit-bambou,941222646
False,,"I’ve enjoyed this app immensely, easy to use, clear and easy instructions to follow.",Very helpful for beginners,5,Amierrz,2020-04-23 21:05:08,mindfulness-with-petit-bambou,941222646
False,"{'id': 17318684, 'body': ""That's lovely to hear :-) Wishing you pleasant meditations!"", 'modified': '2020-08-17T07:55:45Z'}","Easy to use- easy to
Follow- a strong way for me to get introduced properly to meditation. 

Have fun!",Just what I needed,5,Mio Dad,2020-07-21 12:00:20,mindfulness-with-petit-bambou,941222646
False,,Very useful App especially during this pandemic. Thank you for the dedication put into it.,Perfect for Beginners,5,hjhfhhghnv,2020-03-20 14:16:38,mindfulness-with-petit-bambou,941222646
False,,It is working,Working,5,Skiize,2020-09-15 14:17:43,mindfulness-with-petit-bambou,941222646
False,,Quel apprentissage magnifique à la méditation grâce à l’accompagnement journalier retrouvé sur Petit Bambou. MERCI,Merci Petit Bambou,5,Albusta,2021-03-08 18:39:13,mindfulness-with-petit-bambou,941222646
False,,"Es lo mejor que he encontrado para meditar. Lo recomiendo 100%, sobretodo en estos momentos que estamos viviendo. 🤗🙏🏻",Es excelente,5,ashtangui19,2020-12-19 12:32:45,mindfulness-with-petit-bambou,941222646
False,,"Vraiment très bien faite, avec des programmes top. Ça fait 3 ans que je ne peux plus m’en passer!",J’adore!,5,thewinewifey,2020-07-22 18:55:03,mindfulness-with-petit-bambou,941222646
False,,"Maravillosa aplicación, llena de ayudas y acompañamiento para mantenerte “enganchado”. La mejor manera de aprender a meditar! Felicitaciones",Simplemente genial!,5,Pepeclas,2020-07-18 03:00:01,mindfulness-with-petit-bambou,941222646
False,,"Me encanta esta aplicación, es genial como te ayuda a canalizar las meditaciones. Es didáctica amena y sobre todo muy amorosa su manera de canalizar las meditaciones 
Para los que como yo estamos comenzando es maravilloso como poco a poco te va adentrando a un mundo marsvilloso. Súper recomendada",Muy buena,5,martika11,2020-06-05 22:38:39,mindfulness-with-petit-bambou,941222646
False,,Descubriendo esta herramienta,Gracias,5,Pericantar,2020-04-08 11:56:58,mindfulness-with-petit-bambou,941222646
False,,"Te lleva a la meditación de una forma suave, muy fácil de cumplir los tiempos y logra su objetivo, muy recomendable ❤️",Excelente app,5,Gaby I.,2020-03-10 17:51:50,mindfulness-with-petit-bambou,941222646
